No	TMNo	EnNo	Name	GMNo	Mode	DateTime
30614	1	4		1	30	2014-04-01 13:16:15
30615	1	65		1	30	2014-04-01 13:16:50
30616	1	24		1	30	2014-04-01 13:18:26
30617	1	54		1	30	2014-04-01 13:18:57
30618	1	41		1	30	2014-04-01 13:19:14
30619	1	10		1	30	2014-04-01 13:19:26
30620	1	73		1	30	2014-04-01 13:19:46
30621	1	38		1	30	2014-04-01 13:20:00
30622	1	35		1	30	2014-04-01 13:20:40
30623	1	57		1	30	2014-04-01 13:20:47
30624	1	64		1	30	2014-04-01 13:21:26
30625	1	6		1	30	2014-04-01 13:21:36
30626	1	30		1	30	2014-04-01 13:22:15
30627	1	43		1	30	2014-04-01 13:23:04
30628	1	55		1	30	2014-04-01 13:23:07
30629	1	72		1	30	2014-04-01 13:23:12
30630	1	23		1	30	2014-04-01 13:24:20
30631	1	19		1	30	2014-04-01 13:28:54
30632	1	63		1	30	2014-04-01 13:28:57
30633	1	8		1	30	2014-04-01 13:31:12
30634	1	17		1	30	2014-04-01 16:35:19
30635	1	48		1	30	2014-04-01 17:01:50
30636	1	71		1	30	2014-04-01 17:04:03
30637	1	69		1	30	2014-04-01 17:06:22
30638	1	41		1	30	2014-04-01 17:22:25
30639	1	68		1	30	2014-04-01 17:22:36
30640	1	65		1	30	2014-04-01 17:31:29
30641	1	3		1	30	2014-04-01 17:31:42
30642	1	70		1	30	2014-04-01 17:32:14
30643	1	64		1	30	2014-04-01 17:32:23
30644	1	60		1	30	2014-04-01 17:32:26
30645	1	72		1	30	2014-04-01 17:32:29
30646	1	14		1	30	2014-04-01 17:32:37
30647	1	63		1	30	2014-04-01 17:32:47
30648	1	37		1	30	2014-04-01 17:32:52
30649	1	53		1	30	2014-04-01 17:32:57
30650	1	24		1	30	2014-04-01 17:33:00
